smiles,split,high_yielding,not_high_yielding
COC(=O)N1CC2=C(C1)C(N1CCOCC1)=NC(Cl)=N2.C[CH2]OC(=O)N1[CH2]C2=C([CH2]1)C(N1[CH2][CH2]O[CH2][C@@H]1C)=NC(C1=C(F)[CH]=C([NH]C(=O)[NH][CH2][CH2]F)[CH]=[CH]1)=N2>>[CH3]OC(=O)N1[CH2]C2=C([CH2]1)C(N1[CH2][CH2]O[CH2][CH2]1)=NC(C1=C(F)[CH]=C([NH]C(=O)[NH][CH2][CH2]F)[CH]=[CH]1)=N2,train,0,1
CC(C)OP(=O)(OC(C)C)C1=CC=C(N)C=C1.[CH3]C1([CH3])[CH2]OP(=O)(C2=[CH]C([N+](=O)[O-])=[CH][CH]=[CH]2)O[CH2]1>>[CH3]C1([CH3])[CH2]OP(=O)(C2=[CH][CH]=[CH]C([NH2])=[CH]2)O[CH2]1,train,0,1
[CH3][CH2]C([CH3])([CH3])[NH2].[OH][CH]([CH2]Br)C1=[CH]C(Cl)=C(Cl)[CH]=[CH]1>CCO>Cl.[CH3][CH2]C([CH3])([CH3])[NH][CH2][CH]([OH])C1=[CH]C(Cl)=C(Cl)[CH]=[CH]1,train,1,0
C[C@]12CCC(=O)CC1[C@@H](C#N)C[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12.[CH3][C@]12[CH2][CH2][C@H]3[C@@H]([CH2]/C(=N\O)[C@@]4([OH])[CH2][CH2][CH2][CH2][C@]34[CH3])[C@@H]1[CH2]C13OCCOC12OCCO3>>[CH3][C@]12[CH2][CH2][C@H]3[C@@H]([CH2]/C(=N\O)[C@@]4([OH])[CH2]C(=O)[CH2][CH2][C@]34[CH3])[C@@H]1[CH2][CH2]C2=O,train,1,0
[CH3]OC1=[CH]C2=C([CH]=[CH]1)N=C([CH2]Cl)S2.[NH2]C(=O)C1=C(F)C([OH])=[CH][CH]=C1F>>[CH3]OC1=[CH]C2=C([CH]=[CH]1)N=C([CH2]OC1=[CH][CH]=C(F)C(C([NH2])=O)=C1F)S2,train,0,1
[CH3]C(=O)[OH].[CH3][NH][C@@H]([CH3])[CH2]OC1=C2C(=[CH][CH]=[CH]1)N=[CH]N=C2[NH]C1=[CH]C(Cl)=C([OH])[CH]=[CH]1>>[CH3]C(=O)N([CH3])[C@@H]([CH3])[CH2]OC1=C2C(=[CH][CH]=[CH]1)N=[CH]N=C2[NH]C1=[CH]C(Cl)=C([OH])[CH]=[CH]1,train,0,1
[CH3]C([CH3])([CH3])OC(=O)[CH2][CH2][CH2][CH2][CH2][CH2][CH2][CH2][CH2][CH2][CH2][CH2][CH2][CH2][CH2][CH2]C(=O)N([CH2][CH2]C(=O)OC([CH3])([CH3])[CH3])[CH2]C(=O)OCC1=CC=CC=C1>C1CCOC1.CCOC(C)=O.[Pd]>[CH3]C([CH3])([CH3])OC(=O)[CH2][CH2][CH2][CH2][CH2][CH2][CH2][CH2][CH2][CH2][CH2][CH2][CH2][CH2][CH2][CH2]C(=O)N([CH2][CH2]C(=O)OC([CH3])([CH3])[CH3])[CH2]C(=O)[OH],train,1,0
O=C1[CH]=[CH]O[CH]=C1[OH].[CH3]C([CH3])=O>O>O=C1[CH]=[CH]O[CH]=C1O[CH2]C1=[CH][CH]=[CH][CH]=[CH]1,train,0,1
OB(O)C1=[CH]N(C2=[CH][CH]=C(F)[CH]=[CH]2)N=[CH]1.[CH3]OC1=[CH][CH]=C(C([NH]C2=N[C@]([CH3])(C3=C(F)[CH]=[CH]C(Br)=[CH]3)[C@@H](F)[CH2]O2)(C2=[CH][CH]=[CH][CH]=[CH]2)C2=[CH][CH]=C(O[CH3])[CH]=[CH]2)[CH]=[CH]1>C1=CC=C(P(C2=CC=CC=C2)C2=CC=CC=C2)C=C1.C1=CC=C(P(C2=CC=CC=C2)C2=CC=CC=C2)C=C1.C1=CC=C(P(C2=CC=CC=C2)C2=CC=CC=C2)C=C1.C1=CC=C(P(C2=CC=CC=C2)C2=CC=CC=C2)C=C1.[Pd]>[CH3]OC1=[CH][CH]=C(C([NH]C2=N[C@]([CH3])(C3=C(F)[CH]=[CH]C(C4=[CH]N(C5=[CH][CH]=C(F)[CH]=[CH]5)N=[CH]4)=[CH]3)[C@@H](F)[CH2]O2)(C2=[CH][CH]=[CH][CH]=[CH]2)C2=[CH][CH]=C(O[CH3])[CH]=[CH]2)[CH]=[CH]1,train,1,0
Br[CH2]C1=[CH][CH]=[CH][CH]=[CH]1.[CH3]C([CH3])([CH3])OC(=O)[NH][C@H]([CH2]C1=[CH][CH]=[CH]N=[CH]1)C(=O)[OH]>CC#N>Br.[CH3]C([CH3])([CH3])OC(=O)[NH][C@H]([CH2]C1=[CH]N([CH2]C2=[CH][CH]=[CH][CH]=[CH]2)[CH2][CH]=[CH]1)C(=O)[OH],test,1,0
C(C1=CC=CC=C1)N1[CH2][CH2]O[CH]([CH2]N2[CH2][CH2][CH2][CH2]2)[CH2]1.[H][H]>C.CCO.[OH-].[OH-].[Pd+2]>[CH2]1[CH2][CH2]N([CH2][CH]2[CH2][NH][CH2][CH2]O2)[CH2]1,train,1,0
[CH3]OC1=[CH][CH]=C(Cl)N=N1>CCCC[N+](CCCC)(CCCC)CCCC.CN(C)C=O.Cl[Ni](Cl)([P](C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1)[P](C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1.[Br-].[Zn]>[CH3]OC1=[CH][CH]=C(C2=[CH][CH]=C(O[CH3])N=N2)N=N1,train,1,0
O=P(Cl)(Cl)Cl.[CH3]C1=NC(O)=C(C(=O)[OH])[CH]=[CH]1>>[CH3]C1=NC(Cl)=C(C(=O)[OH])[CH]=[CH]1,train,1,0
CO.[CH3]N1C(=O)C(=NO)N=C(C2=[CH][CH]=[CH][CH]=[CH]2)C2=C1[CH]=[CH][CH]=[CH]2>CCO.[Ni]>[CH3]N1C(=O)[CH]([NH2])N=C(C2=[CH][CH]=[CH][CH]=[CH]2)C2=C1[CH]=[CH][CH]=[CH]2,train,1,0
O=C1[CH2][NH]C2=C([CH]=C(I)[CH]=N2)N1[CH2]C1=C(F)[CH]=[CH]C(F)=[CH]1.[CH3][CH2]OC(=O)C1=[CH][CH]=C(B(O)O)[CH]=[CH]1>>[CH3][CH2]OC(=O)C1=[CH][CH]=C(C2=[CH]C3=C(N=[CH]2)[NH][CH2]C(=O)N3[CH2]C2=C(F)[CH]=[CH]C(F)=[CH]2)[CH]=[CH]1,train,0,1
[CH3]OC1=C(Cl)N=[CH]C(C([CH3])=O)=[CH]1.[OH][CH2][CH](F)F>>[CH3]OC1=C(O[CH2][CH](F)F)N=[CH]C(C([CH3])=O)=[CH]1,test,1,0
[CH3][C@]12[CH2][CH2][C@H]3[C@@H]([CH2][CH]=C4[CH]=C(C#N)[CH2][CH2][C@@]43[CH3])[C@@H]1[CH2][CH2][C@@H]2C(=O)SC1=NC=CC=C1.[NH2][CH](C1=[CH][CH]=C(F)[CH]=[CH]1)C1=[CH][CH]=C(F)[CH]=[CH]1>>[CH3][C@]12[CH2][CH2][C@H]3[C@@H]([CH2][CH]=C4[CH]=C(C#N)[CH2][CH2][C@@]43[CH3])[C@@H]1[CH2][CH2][C@@H]2C(=O)[NH][CH](C1=[CH][CH]=C(F)[CH]=[CH]1)C1=[CH][CH]=C(F)[CH]=[CH]1,train,1,0
ClI.O=C1[CH]=[CH]N([CH2][CH2][CH]([CH2][OH])[CH2][OH])C(=O)[NH]1>CO>O=C1[NH]C(=O)N([CH2][CH2][CH]([CH2][OH])[CH2][OH])[CH]=C1I,train,0,1
CCCCCOC1=CC=C(OC2=CC=C3C=C(C4(N)COC(C)(C)OC4)C=CC3=C2)C=C1.[NH2]C([CH2][OH])([CH2][OH])C1=[CH]C2=[CH][CH]=C(OC3=[CH][CH]=C(OC4=[CH][CH]=[CH][CH]=C4)[CH]=[CH]3)[CH]=C2[CH]=[CH]1>>[CH3][CH2][CH2][CH2][CH2]OC1=[CH][CH]=C(OC2=[CH][CH]=C3[CH]=C(C([NH2])([CH2][OH])[CH2][OH])[CH]=[CH]C3=[CH]2)[CH]=[CH]1,train,0,1
COC(=O)[CH2]N1C(=O)CCC2=[CH][CH]=[CH][CH]=C21.O=C1NC2=C(C=CC=C2)O1>>O=C([OH])[CH2]N1C(=O)OC2=C1[CH]=[CH][CH]=[CH]2,train,1,0
[CH3]C1=[CH]C(C(=O)[NH]C2=C([NH][CH]([CH3])C3=N[CH]=[CH][CH]=[CH]3)[CH]=C(Cl)N=[CH]2)=[CH]N([CH3])C1=O>CC(O)=O>[CH3]C1=[CH]C(C2=NC3=C([CH]=C(Cl)N=[CH]3)N2[CH]([CH3])C2=N[CH]=[CH][CH]=[CH]2)=[CH]N([CH3])C1=O,train,0,1
O=C([CH2]Cl)N1[CH2][CH2][CH2]C2=[CH][CH]=[CH][CH]=C21.[SH]C1=N[CH]=[CH]N1C1=[CH][CH]=[CH][CH]=[CH]1>>O=C([CH2]SC1=N[CH]=[CH]N1C1=[CH][CH]=[CH][CH]=[CH]1)N1[CH2][CH2][CH2]C2=[CH][CH]=[CH][CH]=C21,train,0,1
CC(C)(C)OC(=O)N1[CH2]C2=[CH][CH]=C([CH]3C(=O)[NH]C4=[CH][CH]=C(C#N)[CH]=C43)N=C2[CH2]1.Cl>C1COCCO1>Cl.N#CC1=[CH][CH]=C2[NH]C(=O)[CH](C3=[CH][CH]=C4[CH2][NH][CH2]C4=N3)C2=[CH]1,train,1,0
[CH3]C1=C([CH3])C2=C([CH]=[CH]1)[CH](C1=[CH][CH]=C([CH]([CH3])[CH3])[CH]=[CH]1)C(=O)O2>CCCCCC.CCOC(C)=O>[CH3]C1=[CH][CH]=C([CH]([CH2][OH])C2=[CH][CH]=C([CH]([CH3])[CH3])[CH]=[CH]2)C([OH])=C1[CH3],train,0,1
CCOC(=O)C1=[CH]N2N=C(N3[CH2][CH2]N(C(=O)C4=C(C(F)(F)F)[CH]=[CH][CH]=[CH]4)[CH2][CH2]3)[CH]=[CH]C2=N1.[NH2]C1=N[CH]=C(Cl)[CH]=[CH]1>>O=C([NH]C1=N[CH]=C(Cl)[CH]=[CH]1)C1=[CH]N2N=C(N3[CH2][CH2]N(C(=O)C4=C(C(F)(F)F)[CH]=[CH][CH]=[CH]4)[CH2][CH2]3)[CH]=[CH]C2=N1,train,0,1
O=C=N[CH2][CH2]Cl.[NH2]C1=[CH][CH]=C2[CH2][CH2][CH2]C2=[CH]1>CCOCC>O=C([NH][CH2][CH2]Cl)[NH]C1=[CH][CH]=C2[CH2][CH2][CH2]C2=[CH]1,train,0,1
[CH3]C([CH3])(C1=[CH][CH]=[CH][CH]=[CH]1)C1=[CH][CH]=C([CH]=O)[CH]=[CH]1.[CH3][NH2]>CO>[CH3][NH][CH2]C1=[CH][CH]=C(C([CH3])([CH3])C2=[CH][CH]=[CH][CH]=[CH]2)[CH]=[CH]1,train,0,1
O=S(=O)(Cl)C1=[CH]C(Cl)=C(Cl)S1.[CH3]C1=NOC([NH2])=C1Br>>[CH3]C1=NOC([NH]S(=O)(=O)C2=[CH]C(Cl)=C(Cl)S2)=C1Br,train,0,1
COC1=N[CH]=C([N+](=O)[O-])[CH]=[CH]1.[CH3][NH][CH2][CH2][OH]>O>[CH3]N([CH2][CH2][OH])C1=N[CH]=C([N+](=O)[O-])[CH]=[CH]1,train,1,0
[CH3]OC1=[CH][CH]=C([CH2]OC(=O)C2([CH2]C(=O)OC([CH3])([CH3])[CH3])[CH2]N(C(=O)O[CH2]C3=[CH][CH]=[CH][CH]=[CH]3)[CH2][CH]2[CH3])[CH]=[CH]1>CCCCCC.CCO>[CH3]OC1=[CH][CH]=C([CH2]OC(=O)[C@@]2([CH2]C(=O)OC([CH3])([CH3])[CH3])[CH2]N(C(=O)O[CH2]C3=[CH][CH]=[CH][CH]=[CH]3)[CH2][C@H]2[CH3])[CH]=[CH]1,train,0,1
CC(C)[C@@H](C(O)=O)N1CC2=CC=C(C3=CC=C(NC(=O)NC4=CC=C(F)C=C4)C=C3)C=C2C1=O.COC(=O)[C@H]([CH]([CH3])[CH3])N1[CH2]C2=[CH][CH]=C(C3=[CH][CH]=C([NH]C(=O)[NH]C4=[CH][CH]=C(C#N)[CH]=[CH]4)[CH]=[CH]3)[CH]=C2C1=O>>[CH3][CH]([CH3])[C@@H](C(=O)[OH])N1[CH2]C2=[CH][CH]=C(C3=[CH][CH]=C([NH]C(=O)[NH]C4=[CH][CH]=C(C#N)[CH]=[CH]4)[CH]=[CH]3)[CH]=C2C1=O,train,1,0
CC(C)(C)OC(=O)N1[CH2][CH2]N(C2=[CH][CH]=C([CH2]O[CH2][CH2]F)[CH]=[CH]2)[CH2][CH2]1.Cl>C1COCCO1>Cl.F[CH2][CH2]O[CH2]C1=[CH][CH]=C(N2[CH2][CH2][NH][CH2][CH2]2)[CH]=[CH]1,train,1,0
OB(O)C1=[CH]C(F)=[CH][CH]=[CH]1.[CH3][CH](N=[N+]=[N-])C1=C(Br)C(=O)N2C(C(F)(F)F)=[CH]SC2=N1>>[CH3][CH](N=[N+]=[N-])C1=C(C2=[CH]C(F)=[CH][CH]=[CH]2)C(=O)N2C(C(F)(F)F)=[CH]SC2=N1,train,0,1
[CH3]OC1=C(N2[CH]=NC([CH3])=[CH]2)[CH]=[CH]C([NH]C2=NC([CH3])=[CH]C(Cl)=N2)=[CH]1.[OH]C1=[CH][CH]=[CH]N=[CH]1>>[CH3]OC1=C(N2[CH]=NC([CH3])=[CH]2)[CH]=[CH]C([NH]C2=NC(OC3=[CH][CH]=[CH]N=[CH]3)=[CH]C([CH3])=N2)=[CH]1,train,0,1
[CH3]OC1=[CH][CH]=C2[CH]=C(Br)[CH]=[CH]C2=[CH]1.[CH3]OC1=[CH][CH]=[CH]C(OB(O)O)=[CH]1>>[CH3]OC1=[CH][CH]=[CH]C(C2=[CH][CH]=C3[CH]=C(O[CH3])[CH]=[CH]C3=[CH]2)=[CH]1,train,1,0
OB(O)C1=[CH][NH]N=C1C(F)(F)F.[CH3]C([CH3])([OH])C1=[CH][CH]=C(C(=O)[NH]C2=NC3=[CH][CH]=C(Br)N=C3S2)[CH]=[CH]1>>[CH3]C([CH3])([OH])C1=[CH][CH]=C(C(=O)[NH]C2=NC3=[CH][CH]=C(C4=[CH][NH]N=C4C(F)(F)F)N=C3S2)[CH]=[CH]1,train,0,1
[CH3]OC1=[CH][CH]=[CH]C([CH]=[CH][CH]=O)=[CH]1.[NH2][NH]C([NH2])=S>>[CH3]OC1=[CH][CH]=[CH]C([CH]=[CH][CH]=N[NH]C([NH2])=S)=[CH]1,train,0,1
O=C(Cl)C1=[CH][CH]=C(F)[CH]=[CH]1.[CH3]C1=C([CH3])C2=C(C([CH3])=C1[NH2])[CH](C1=[CH][CH]=C(F)[CH]=[CH]1)C([CH3])([CH3])O2>CCCCCC.CCOC(C)=O>[CH3]C1=C([CH3])C2=C(C([CH3])=C1[NH]C(=O)C1=[CH][CH]=C(F)[CH]=[CH]1)[CH](C1=[CH][CH]=C(F)[CH]=[CH]1)C([CH3])([CH3])O2,train,1,0
CS(=O)(=O)O[CH2][CH2]OC1=N[NH]C2=N[CH]=NC([NH]C3=[CH]C(O[CH3])=C(O[CH2]C4=N[CH]=[CH][CH]=[CH]4)[CH]=[CH]3)=C21.[OH][CH2][C@H]1[CH2][CH2][CH2][NH]1>>[CH3]OC1=C(O[CH2]C2=N[CH]=[CH][CH]=[CH]2)[CH]=[CH]C([NH]C2=C3C(=N[CH]=N2)[NH]N=C3O[CH2][CH2]N2[CH2][CH2][CH2][C@@H]2[CH2][OH])=[CH]1,train,0,1
CC(=O)S[C@H]1[CH2]O[C@H](/C=C/C=C/C2=[CH][CH]=C(C(F)(F)F)[CH]=[CH]2)O[CH2]1.[CH3][C@H]1O[C@@H]1[CH2]N1[CH]=N[CH]=N1>>[CH3][C@@H](S[C@H]1[CH2]O[C@H](/C=C/C=C/C2=[CH][CH]=C(C(F)(F)F)[CH]=[CH]2)O[CH2]1)[C@]([OH])([CH2]N1[CH]=N[CH]=N1)C1=[CH][CH]=C(C(F)(F)F)[CH]=[CH]1,train,1,0
CC(C)(C)[OH].[CH3]OC(=O)[C@@H]([CH2]C1=[CH][CH]=C2[NH][CH]=[CH]C2=[CH]1)[NH]C(=O)O[CH2]C1=[CH][CH]=[CH][CH]=[CH]1>[Zn]>[CH3]OC(=O)[C@@H]([CH2]C1=[CH][CH]=C2[NH]C(=O)[CH2]C2=[CH]1)[NH]C(=O)O[CH2]C1=[CH][CH]=[CH][CH]=[CH]1,train,0,1
[CH3][CH2][CH2][CH2][CH2][CH2][CH2][NH]C(=O)[NH]C1=C(C(=O)[NH]C2=[CH][CH]=[CH]N=[CH]2)[CH]=[CH][CH]=[CH]1>CC(O)=O.O=[Pt]=O>[CH3][CH2][CH2][CH2][CH2][CH2][CH2][NH]C(=O)[NH]C1=C(C(=O)[NH][CH]2[CH2][CH2][CH2][NH][CH2]2)[CH]=[CH][CH]=[CH]1,train,1,0
CC(C)(C)OC(=O)[NH]C1=[CH][CH]=C(Cl)[CH]=[CH]1.O=C(Cl)C1=C(F)[CH]=C(F)[CH]=[CH]1>>[NH2]C1=C(C(=O)C2=C(F)[CH]=C(F)[CH]=[CH]2)[CH]=C(Cl)[CH]=[CH]1,train,0,1
C=C([CH2]OC1=C(C2=[CH][NH][CH]=N2)[CH]=[CH][CH]=[CH]1)C1=[CH]OC2=C1[CH]=[CH][CH]=[CH]2>CO.[Pd]>[CH3][CH]([CH2]OC1=C(C2=[CH][NH][CH]=N2)[CH]=[CH][CH]=[CH]1)C1=[CH]OC2=C1[CH]=[CH][CH]=[CH]2,train,1,0
CC1=C(C(=O)C2=C([NH2])[CH]=[CH]C(Cl)=[CH]2)[CH]=[CH][CH]=[CH]1.O=C1OC(C2=CC=CC=C2)=NC2=C1C=C(Cl)C=C2>>[CH3]OC1=[CH][CH]=[CH]C(C(=O)C2=C([NH2])[CH]=[CH]C(Cl)=[CH]2)=[CH]1,train,0,1
O=S(=O)(Cl)C1=[CH][CH]=[CH]O1.[NH2]C1=C(F)C(C2=C(C3=NC(Cl)=N[CH]=[CH]3)SC(N3[CH2][CH2]O[CH2][CH2]3)=N2)=[CH][CH]=[CH]1>>O=S(=O)([NH]C1=C(F)C(C2=C(C3=NC(Cl)=N[CH]=[CH]3)SC(N3[CH2][CH2]O[CH2][CH2]3)=N2)=[CH][CH]=[CH]1)C1=[CH][CH]=[CH]O1,train,0,1
[CH3]N1C(=O)OC(=O)C2=[CH][CH]=[CH][CH]=C21.[OH]C1=N[NH]C2=[CH]C(Cl)=[CH][CH]=C21>>[CH3][NH]C1=C(C(=O)N2N=C([OH])C3=[CH][CH]=C(Cl)[CH]=C32)[CH]=[CH][CH]=[CH]1,train,0,1
N#CC1=[CH][CH]=C([CH2]C(=O)[OH])[CH]=[CH]1.NC1=CC=C(CC(O)=O)C=C1>Cl.[Pt]>[NH2][CH2][CH]1[CH2][CH2][CH]([CH2]C(=O)[OH])[CH2][CH2]1,train,0,1
CC(=O)OI1(OC(C)=O)(OC(C)=O)OC(=O)C2=C1C=CC=C2.O=C([CH2][CH2][CH2][CH2]C#CC1=[CH]C(Cl)=[CH][CH]=[CH]1)C1=N[CH]=C(C2=N[CH]=[CH][CH]=[CH]2)O1>C1CCOC1.[Ni]>O=C([CH2][CH2][CH2][CH2][CH2][CH2]C1=[CH]C(Cl)=[CH][CH]=[CH]1)C1=N[CH]=C(C2=N[CH]=[CH][CH]=[CH]2)O1,train,0,1
CC(C)(C)OC(=O)[CH2][CH2][CH]1[CH2]OC2=C([CH]=[CH][CH]=[CH]2)C2=C([CH]3[CH2][CH2][CH2][CH2][CH2]3)C3=C([CH]=C(C(=O)O[CH3])[CH]=[CH]3)N2[CH2]1.OC(=O)C(F)(F)F>ClCCl.O>[CH3]OC(=O)C1=[CH]C2=C([CH]=[CH]1)C([CH]1[CH2][CH2][CH2][CH2][CH2]1)=C1C3=C([CH]=[CH][CH]=[CH]3)O[CH2][CH]([CH2][CH2]C(=O)[OH])[CH2]N21,train,0,1
CCOC(=O)[CH2]C(=O)/C=C/C1=[CH][CH]=[CH][CH]=[CH]1.[NH2][NH]C1=N[CH]=[CH][CH]=[CH]1>CC(O)=O>[OH]C1=[CH]C([CH]=[CH]C2=[CH][CH]=[CH][CH]=[CH]2)=NN1C1=N[CH]=[CH][CH]=[CH]1,train,0,1
CS(=O)(=O)C1=CC=C(C2=[CH]C3=N[CH]=[CH]C(OC4=C(F)[CH]=C([NH]C(=S)[NH]C(=O)[CH2]C5=[CH][CH]=[CH][CH]=[CH]5)[CH]=[CH]4)=C3S2)C=C1.NC1=CC(F)=C(OC2=C3SC=CC3=NC=C2)C=C1>>O=C([CH2]C1=[CH][CH]=[CH][CH]=[CH]1)[NH]C(=S)[NH]C1=[CH]C(F)=C(OC2=C3S[CH]=[CH]C3=N[CH]=[CH]2)[CH]=[CH]1,test,0,1
[CH3]I.[CH3]N([CH2][CH2][CH2]N1C2=C([CH]=[CH][CH]=[CH]2)[CH2][CH2]C2=C1[CH]=[CH][CH]=[CH]2)C(=O)O[CH2]OC(=O)C1=[CH][CH]=[CH]N=[CH]1>C[N+](=O)[O-]>[CH3]N([CH2][CH2][CH2]N1C2=C([CH]=[CH][CH]=[CH]2)[CH2][CH2]C2=C1[CH]=[CH][CH]=[CH]2)C(=O)O[CH2]OC(=O)C1=[CH][CH]=[CH][N+]([CH3])=[CH]1.[I-],train,1,0
[CH3]C1=[CH][CH]=C(Cl)N=N1.[CH3][CH2]OC(=O)[CH]1[CH2][CH2][NH][CH2][CH2]1>CCN(C(C)C)C(C)C.CN1CCCC1=O>[CH3][CH2]OC(=O)[CH]1[CH2][CH2]N(C2=[CH][CH]=C([CH3])N=N2)[CH2][CH2]1,train,0,1
[CH3]OC1=N[CH]=[CH][CH]=C1B(O)O.[CH3][CH]([NH][CH]=O)C1=[CH]C2=C([CH]=[CH]1)N(C1=[CH]C(Br)=[CH][CH]=[CH]1)[CH]=N2>>[CH3]OC1=N[CH]=[CH][CH]=C1C1=[CH][CH]=[CH]C(N2[CH]=NC3=C2[CH]=[CH]C([CH]([CH3])[NH][CH]=O)=[CH]3)=[CH]1,train,1,0
CCOC(=O)[CH]=C([CH2][CH2][CH2][CH2][CH2][CH2][CH3])[NH]C1=[CH][CH]=[CH][CH]=[CH]1>C1=CC=C(OC2=CC=CC=C2)C=C1>[CH3][CH2][CH2][CH2][CH2][CH2][CH2]C1=[CH]C(=O)C2=[CH][CH]=[CH][CH]=C2[NH]1,train,0,1
