sentences,split,not_high_yielding,high_yielding
"4-chloro-5,7-dihydropyrrolo[2,3-d]pyrimidin-6-one and 3,5-dimethyl-1h-pyrrole-2-carbaldehyde react together to produce 4-chloro-5-[(3,5-dimethyl-1h-pyrrol-2-yl)methylidene]-7h-pyrrolo[2,3-d]pyrimidin-6-one.",train,1,0
"N,n'-dicyclohexylmethanediimine and butan-1-amine react together to produce 2-butyl-1,3-dicyclohexylguanidine.",train,0,1
Ethyl 2-bromoacetate and 3-sulfanylphenol react together to produce ethyl 2-(3-hydroxyphenyl)sulfanylacetate.,train,1,0
"Pyrrole-2,5-dione and 2-[2-(2-chlorophenyl)ethenyl]-5-methoxy-6-phenylmethoxy-1h-indole react together to produce 4-(2-chlorophenyl)-9-methoxy-8-phenylmethoxy-4,5,6,10c-tetrahydro-3ah-pyrrolo[3,4-c]carbazole-1,3-dione.",train,0,1
"2,3-dichloro-5-(trifluoromethyl)pyridine and benzenethiol react together in the presence of copper to produce 3-chloro-2-phenylsulfanyl-5-(trifluoromethyl)pyridine.",train,0,1
Triethyl phosphite and 1-(bromomethyl)-3-nitrobenzene react together to produce 1-(diethoxyphosphorylmethyl)-3-nitrobenzene.,train,0,1
"Chloroform and 5,6-dimethoxy-2-[2,2,4,6,7-pentamethyl-3-(4-methylphenyl)-3h-1-benzofuran-5-yl]-1,3-dihydroisoindole react together to produce chlorane.",train,1,0
"Tert-butyl 4-(n-(2-bromo-2,2-difluoroacetyl)-2-iodoanilino)piperidine-1-carboxylate reacts in the presence of methylsulfinylmethane, copper to produce tert-butyl 4-(3,3-difluoro-2-oxoindol-1-yl)piperidine-1-carboxylate.",test,0,1
"3,3-dimethyldioxirane and (1s,3s,7s,10r,11s,12s,16r)-7,11-dihydroxy-8,8,10,12,16-pentamethyl-3-[(e)-1-(2-methyl-1,3-thiazol-4-yl)prop-1-en-2-yl]-4,17-dioxabicyclo[14.1.0]heptadecane-5,9-dione react together to produce (1s,3s,7s,10r,11s,12s,16r)-7,11-dihydroxy-8,8,10,12,16-pentamethyl-3-[(e)-1-(2-methyl-1,3-thiazol-4-yl)prop-1-en-2-yl]-4,17-dioxabicyclo[14.1.0]heptadec-13-ene-5,9-dione.",train,0,1
"Methyl 2-bromo-3-methylbutanoate and 3-butyl-4-[[4-[2-(1-trityltetrazol-5-yl)phenyl]phenyl]methyl]-1h-1,2,4-triazol-5-one react together to produce methyl 2-[3-butyl-5-oxo-4-[[4-[2-(1-trityltetrazol-5-yl)phenyl]phenyl]methyl]-1,2,4-triazol-1-yl]-3-methylbutanoate.",train,1,0
"2-[(7-bromo-5-pyridin-2-yl-1,3-dihydro-1,4-benzodiazepin-2-ylidene)amino]acetaldehyde and sulfuric acid react together to produce 8-bromo-6-pyridin-2-yl-4h-imidazo[1,2-a][1,4]benzodiazepine.",train,0,1
Selenium dioxide and 1-ethyl-2-methylbenzimidazole react together to produce 1-ethylbenzimidazole-2-carbaldehyde.,train,1,0
"O-prop-2-enylhydroxylamine and 2,3-dichloro-n-ethyl-6-trimethylsilylbenzamide react together to produce 2,3-dichloro-n-prop-2-enoxy-6-trimethylsilylbenzamide.",train,0,1
"[(e)-2-cyclohexylethenyl]boronic acid and [1-(3-bromophenyl)-3,5-dimethylpyrazol-4-yl]-[3-(diethylamino)pyrrolidin-1-yl]methanone react together to produce [1-[3-[(e)-2-cyclohexylethenyl]phenyl]-3,5-dimethylpyrazol-4-yl]-[3-(diethylamino)pyrrolidin-1-yl]methanone.",train,1,0
"1-ethenyl-6,7-difluoro-4-oxoquinoline-3-carboxylic acid and 9-methyl-3,9-diazabicyclo[4.2.1]nonane react together to produce 1-ethenyl-6-fluoro-7-(9-methyl-3,9-diazabicyclo[4.2.1]nonan-3-yl)-4-oxoquinoline-3-carboxylic acid.",train,1,0
Diphenyldiazene reacts in the presence of aniline to produce n-phenyl-4-phenyldiazenylaniline.,train,0,1
"Sulfamic acid and 7-(2,6-dimethylphenyl)-1,2,4-benzotriazin-3-amine react together in the presence of aniline to produce 7-(2,6-dimethylphenyl)-n-phenyl-1,2,4-benzotriazin-3-amine.",train,1,0
N-methyl-3-(2-methyl-1h-indol-5-yl)-3-phenylpropanamide and 3-(1h-indol-7-yl)-n-methyl-3-phenylpropan-1-amine react together to produce n-methyl-3-(3-methyl-1h-indol-5-yl)-3-phenylpropan-1-amine.,train,1,0
1-(3-chloro-4-methoxyphenyl)-2-(4-methylsulfanylphenyl)ethanone and hydroxylamine react together to produce n-[1-(3-chloro-4-methoxyphenyl)-2-(4-methylsulfanylphenyl)ethylidene]hydroxylamine.,train,1,0
"(2s,4r)-4-hydroxypyrrolidine-2-carboxylic acid and 1-fluoro-2-nitrobenzene react together to produce (2s,4r)-4-hydroxy-1-(2-nitrophenyl)pyrrolidine-2-carboxylic acid.",train,0,1
Magnesium;propane;bromide and 5-acetyl-2-butyl-1h-imidazole-4-carbonitrile react together to produce 5-butanoyl-2-butyl-1h-imidazole-4-carbonitrile.,train,1,0
"O-ethyl 2-amino-2-oxoethanethioate and ethyl 4-propan-2-yl-1,3-thiazole-2-carboxylate react together to produce ethyl 4-cyclobutyl-1,3-thiazole-2-carboxylate.",train,1,0
"1-(2-methyl-3,4-dihydro-1h-isoquinolin-1-yl)propan-2-one and 4-(2-amino-1-hydroxyethyl)phenol react together to produce 4-[1-hydroxy-2-[1-(2-methyl-3,4-dihydro-1h-isoquinolin-1-yl)propan-2-ylamino]ethyl]phenol.",train,1,0
"Furan and 4,5-dimethoxy-2,3-dihydrofuran react together to produce 2,5-dimethoxyoxolane.",train,1,0
(e)-4-bromo-2-methylbut-2-enoic acid and prop-2-enylthiourea react together to produce [amino(3-carboxybut-2-enylsulfanyl)methylidene]-prop-2-enylazanium.,train,0,1
"(3r)-2,3,4,9-tetrahydro-1h-pyrido[3,4-b]indole-3-carboxylic acid and ethyl (3s)-2,3,4,9-tetrahydro-1h-pyrido[3,4-b]indole-3-carboxylate react together to produce ethyl (3r)-2,3,4,9-tetrahydro-1h-pyrido[3,4-b]indole-3-carboxylate.",train,1,0
2-iodo-3-nitrobenzoic acid and 1h-benzimidazol-4-amine react together to produce 2-(1h-benzimidazol-4-ylamino)-3-nitrobenzoic acid.,train,1,0
"3,5-ditert-butyl-4-hydroxybenzaldehyde and 3-methyl-2-sulfanylidene-1,3-thiazolidin-4-one react together to produce 5-[(3,5-ditert-butyl-4-hydroxyphenyl)methylidene]-3-methyl-2-sulfanylidene-1,3-thiazolidin-4-one.",train,0,1
"8-chloro-1-methyl-3,1-benzoxazine-2,4-dione and tert-butyl n-(2-aminoethyl)carbamate react together to produce tert-butyl n-[2-[(2-amino-3-chlorobenzoyl)amino]ethyl]carbamate.",train,0,1
"4,7-dibromo-2-pyridin-4-ylbenzotriazole and 4,7-dibromo-2-pyrazin-2-ylbenzotriazole react together to produce 2-pyrazin-2-ylbenzotriazole.",train,1,0
Methyl 1-(5-bromo-3-oxo-1h-isoindol-2-yl)cyclopentane-1-carboxylate and methyl 2-methyl-2-[5-(4-nitrophenyl)-3-oxo-1h-isoindol-2-yl]propanoate react together to produce methyl 1-[5-(4-nitrophenyl)-3-oxo-1h-isoindol-2-yl]cyclopentane-1-carboxylate.,train,0,1
"[(e)-2-(4-chlorophenyl)ethenyl]boronic acid and [1-(3-bromophenyl)-3,5-dimethylpyrazol-4-yl]-[3-(diethylamino)pyrrolidin-1-yl]methanone react together to produce [1-[3-[(e)-2-(4-chlorophenyl)ethenyl]phenyl]-3,5-dimethylpyrazol-4-yl]-[3-(diethylamino)pyrrolidin-1-yl]methanone.",train,1,0
"3-butyl-4-[[4-[2-(1-trityltetrazol-5-yl)phenyl]phenyl]methyl]-1h-1,2,4-triazol-5-one and 1-bromopropylbenzene react together to produce 5-butyl-2-(1-phenylpropyl)-4-[[4-[2-(1-trityltetrazol-5-yl)phenyl]phenyl]methyl]-1,2,4-triazol-3-one.",train,1,0
4-[2-[1-benzhydryl-2-[2-(benzylsulfonylamino)ethyl]-5-chloroindol-3-yl]ethoxy]benzoic acid and 2-phenylethenesulfonyl chloride react together to produce 4-[2-[1-benzhydryl-5-chloro-2-[2-[[(e)-2-phenylethenyl]sulfonylamino]ethyl]indol-3-yl]ethoxy]benzoic acid.,train,1,0
Sulfuryl dichloride and 2-methylphenol react together to produce 4-chloro-2-methylphenol.,train,0,1
"4-acetamido-5-propan-2-yl-1h-pyrazole-3-carboxamide reacts in the presence of sodium(1+), hydroxide to produce 5-methyl-3-propan-2-yl-2,6-dihydropyrazolo[4,3-d]pyrimidin-7-one.",train,0,1
"N-[3-[2-(2-chloropyrimidin-4-yl)acetyl]-2-fluorophenyl]-2,6-difluorobenzenesulfonamide and cyclohexanecarbothioamide react together to produce n-[3-[5-(2-chloropyrimidin-4-yl)-2-cyclohexyl-1,3-thiazol-4-yl]-2-fluorophenyl]-2,6-difluorobenzenesulfonamide.",train,1,0
"(methyldisulfanyl)methane and tert-butyl 4-(5-bromo-1,3-thiazol-2-yl)piperazine-1-carboxylate react together to produce tert-butyl 4-(5-methylsulfanyl-1,3-thiazol-2-yl)piperazine-1-carboxylate.",train,0,1
"2-chloro-5-nitrobenzaldehyde and 2-methyl-1,3-benzoselenazole react together to produce 2-[2-(2-chloro-5-nitrophenyl)ethenyl]-1,3-benzoselenazole.",train,1,0
"6-bromo-8-cyclopentyl-2-methylsulfinylpyrido[2,3-d]pyrimidin-7-one and pyridin-2-amine react together to produce 6-bromo-8-cyclopentyl-2-(pyridin-2-ylamino)pyrido[2,3-d]pyrimidin-7-one.",train,1,0
"2,3-difluoro-1-iodo-4-(7,7,8,8,9,9,10,10,10-nonafluorodecoxy)benzene and [2,3-difluoro-4-(5,5,6,6,7,7,8,8,8-nonafluorooctoxy)phenyl]boronic acid react together to produce [2,3-difluoro-4-(7,7,8,8,9,9,10,10,10-nonafluorodecoxy)phenyl]boronic acid.",train,0,1
"6-(trifluoromethyl)-3h-quinazolin-4-one and methyl (2s,3r)-2-(3-bromo-2-oxopropyl)-3-methoxypiperidine-1-carboxylate react together to produce methyl (2s,3r)-3-methoxy-2-[2-oxo-3-[4-oxo-6-(trifluoromethyl)quinazolin-3-yl]propyl]piperidine-1-carboxylate.",train,1,0
"(1,2,2-trimethylcyclohexyl) 2-methylprop-2-enoate and 1-(2-isocyanatopropan-2-yl)-3-prop-1-en-2-ylbenzene react together to produce prop-1-en-2-ylbenzene.",train,1,0
"Methyl 2-(4,4,5,5-tetramethyl-1,3,2-dioxaborolan-2-yl)spiro[3.3]hept-2-ene-6-carboxylate and methyl 4-(trifluoromethylsulfonyloxy)cyclohexa-1,3-diene-1-carboxylate react together to produce methyl 4-(4,4,5,5-tetramethyl-1,3,2-dioxaborolan-2-yl)cyclohexa-1,3-diene-1-carboxylate.",train,1,0
1-(2-amino-4-methoxyphenyl)ethanone and 3-chloro-4-methoxyaniline react together to produce 1-(2-amino-4-chloro-5-methoxyphenyl)ethanone.,train,1,0
Ethynylbenzene and 4-bromo-2-iodoaniline react together to produce 5-bromo-2-phenyl-1h-indole.,train,1,0
2-(4-ethenoxybutoxymethyl)oxirane and oxidane react together to produce 1-(oxiran-2-ylmethoxy)butan-1-ol.,train,0,1
"Pyrrole-2,5-dione and 2-[2-(2-chlorophenyl)ethenyl]-5-nitro-1h-indole react together to produce 4-(2-chlorophenyl)-9-nitro-4,5,6,10c-tetrahydro-3ah-pyrrolo[3,4-c]carbazole-1,3-dione.",train,0,1
"3-phenylprop-2-en-1-ol and 3,5-bis(phenylmethoxy)phenol react together to produce 3,5-bis(phenylmethoxy)-2-[(e)-3-phenylprop-2-enyl]phenol.",train,1,0
"[2-[(2-methylpropan-2-yl)oxycarbonylamino]-4-(3-nitropyridin-4-yl)cyclohex-3-en-1-yl] methanesulfonate reacts in the presence of pyridine to produce 5-(3-nitropyridin-4-yl)-3a,6,7,7a-tetrahydro-3h-1,3-benzoxazol-2-one.",train,0,1
"2-methylprop-1-ene and 4-methoxyphenol react together to produce 2,5-ditert-butyl-4-methoxyphenol.",train,1,0
1-chloro-2-isocyanatoethane and 2-methoxy-3-[2-[4-(2-methylquinolin-5-yl)piperazin-1-yl]ethyl]aniline react together to produce chlorane.,train,1,0
"(2-iodo-1-phenylethyl)benzene and ethyl 2-[(2-sulfanylidene-4,5-dihydro-1h-benzo[e][1,3]benzothiazol-6-yl)oxy]acetate react together to produce ethyl 2-[[2-(2,2-diphenylethylsulfanyl)-4,5-dihydrobenzo[e][1,3]benzothiazol-6-yl]oxy]acetate.",train,1,0
"2-(5-bromo-4-methylthiophen-2-yl)-4-[[4-(4-imidazol-1-ylbutyl)phenoxy]methyl]-1,3-oxazole reacts in the presence of zinc to produce 4-[[4-(4-imidazol-1-ylbutyl)phenoxy]methyl]-2-(4-methylthiophen-2-yl)-1,3-oxazole.",train,0,1
"1,2-bis(ethenyl)benzene reacts in the presence of trifluoroborane to produce 1,2-bis(ethenyl)benzene.",train,1,0
"Ethynylbenzene and 2,4-dichloro-6-iodoaniline react together to produce 5,7-dichloro-2-phenyl-1h-indole.",train,0,1
Sulfuryl dichloride and methyl 2-amino-4-methoxybenzoate react together to produce methyl 2-amino-5-chloro-4-methoxybenzoate.,train,0,1
"Fluoro(trimethyl)silane and 1,1,1,2,2,3,3-heptafluoro-3-(1,2,2-trifluoroethenoxy)propane react together to produce 1,1,1,2,2,3,3-heptafluoro-3-(1,2,2,2-tetrafluoroethoxy)propane.",train,1,0
3-chloro-2-fluoro-5-(trifluoromethyl)pyridine and 2-nitrophenol react together to produce 3-chloro-2-(2-nitrophenoxy)-5-(trifluoromethyl)pyridine.,train,1,0
"2,3-dichloro-n-ethyl-6-trimethylsilylbenzamide and 1,1-dimethylhydrazine react together to produce 2,3-dichloro-n',n'-dimethyl-6-trimethylsilylbenzohydrazide.",train,0,1
Benzaldehyde and pentan-3-one react together to produce 1-hydroxy-2-methyl-1-phenylpentan-3-one.,train,0,1
"Selenium dioxide and ethyl 6-hydroxy-3-phenyl-1h-indene-2-carboxylate react together in the presence of 1,4-dioxane to produce ethyl 5-hydroxy-3-oxo-1-phenylindene-2-carboxylate.",train,1,0
1-methylbenzimidazole and ethyl 2-bromoacetate react together in the presence of ethoxyethane to produce bromide.,train,1,0
"8-(3-piperidin-1-ylpropoxy)-3,4-dihydro-2h-pyrazino[1,2-a]indol-1-one and (3r)-pyrrolidin-3-ol react together to produce 8-[3-[(3r)-3-hydroxypyrrolidin-1-yl]propoxy]-3,4-dihydro-2h-pyrazino[1,2-a]indol-1-one.",train,1,0
"3-(2,3-dihydro-1h-inden-5-yloxy)-3-oxo-2-phenylpropanoate and (5r)-6-amino-3,3-dimethyl-2-(2h-tetrazol-5-yl)-4-thia-1-azabicyclo[3.2.0]heptan-7-one react together to produce 2,3-dihydro-1h-inden-5-yl 3-[[(5r)-3,3-dimethyl-7-oxo-2-(2h-tetrazol-5-yl)-4-thia-1-azabicyclo[3.2.0]heptan-6-yl]amino]-3-oxo-2-phenylpropanoate.",train,1,0
Ethyl 3-(benzylamino)-2-cyano-3-methylsulfanylprop-2-enoate and 1-[(4-fluorophenyl)methyl]piperazine react together in the presence of acetonitrile to produce ethyl 3-(benzylamino)-2-cyano-3-[4-[(4-fluorophenyl)methyl]piperazin-1-yl]prop-2-enoate.,train,1,0
"(2s)-n-(2-hydroxy-2-phenylethyl)-4-oxo-1-(4-phenylbenzoyl)pyrrolidine-2-carboxamide and 1,1-dimethylhydrazine react together to produce (2s)-4-(dimethylhydrazinylidene)-n-(2-hydroxy-2-phenylethyl)-1-(4-phenylbenzoyl)pyrrolidine-2-carboxamide.",train,1,0
"3-bromo-5-fluoro-4-methoxybenzaldehyde and 7-bromo-1-ethyl-4,4,6-trimethyl-3h-quinolin-2-one react together to produce 3-(1-ethyl-4,4,6-trimethyl-2-oxo-3h-quinolin-7-yl)-5-fluoro-4-methoxybenzaldehyde.",train,1,0
2-propan-2-ylphenol and 2-methyloxirane react together to produce 1-(2-propan-2-ylphenoxy)propan-2-ol.,train,0,1
"Methyl 2-dimethoxyphosphorylacetate and 4-[[2-(furan-2-yl)-5-methyl-1,3-oxazol-4-yl]methoxy]-3-methoxybenzaldehyde react together to produce methyl 3-[4-[[2-(furan-2-yl)-5-methyl-1,3-oxazol-4-yl]methoxy]-3-methoxyphenyl]prop-2-enoate.",train,0,1
"(6z,8r,9s,10r,13s,14s)-6-hydroxyimino-10,13-dimethyl-1,2,4,5,7,8,9,11,12,14,15,16-dodecahydrocyclopenta[a]phenanthrene-3,17-dione and (2s,5s,6r,11r,14r,15s)-11-hydroxy-2,6-dimethyl-18,21,22,25-tetraoxahexacyclo[15.4.4.01,17.02,15.05,14.06,11]pentacosan-12-one react together to produce (2s,5s,6r,11r,12z,14r,15s)-12-hydroxyimino-2,6-dimethyl-18,21,22,25-tetraoxahexacyclo[15.4.4.01,17.02,15.05,14.06,11]pentacosan-11-ol.",train,0,1
"5-methoxy-2-(1-phenylethenyl)-1h-indole and pyrrole-2,5-dione react together to produce 9-methoxy-5-phenyl-6h-pyrrolo[3,4-c]carbazole-1,3-dione.",train,0,1
"3-aminopropan-1-ol and 2-(bromomethyl)-3,4-dihydro-2h-chromen-7-ol react together in the presence of oxidane to produce 2-[(3-hydroxypropylamino)methyl]-3,4-dihydro-2h-chromen-7-ol.",train,0,1
