reaction,split,high_yielding,not_high_yielding
Cc1cc(F)c(NC(=O)Nc2ccccc2)cc1-c1cc2cnc(NC(=O)OC(C)(C)C)cc2n(C(C)C)c1=O>C1COCCO1.C=C(C)OC(=O)Cl.CO.Cl.O.c1ccncc1>C=C(C)OC(=O)Nc1cc2c(cn1)cc(-c1cc(NC(=O)Nc3ccccc3)c(F)cc1C)c(=O)n2C(C)C,train,1,0
CC(C)(C)CC(=O)O.COC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H](N)CC(=O)O>CC(C)(C)CC=O.CO>COC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(=O)O)NCCC(C)(C)C,train,1,0
COCN(c1cccc(C(=O)CBr)c1F)S(=O)(=O)c1cc(F)ccc1F.NC(N)=S>CCO>COCN(c1cccc(-c2csc(N)n2)c1F)S(=O)(=O)c1cc(F)ccc1F,train,1,0
CC(C)(C)OC(=O)N1CCC(F)(CO)CC1.Cc1ccc(S(=O)(=O)Cl)cc1>CCN(CC)CC.CN(C)c1ccncc1.ClCCl>Cc1ccc(S(=O)(=O)OCC2(F)CCN(C(=O)OC(C)(C)C)CC2)cc1,train,1,0
CCOC(C)(OCC)n1cncn1.O=C(c1ccc(Cl)cc1)c1ccc(Cl)cc1>CCCCCC.CCOCC.Cl.[Li]CCCC>OC(c1ccc(Cl)cc1)(c1ccc(Cl)cc1)c1nnc[nH]1,train,1,0
CCC(=O)O.NS(=O)(=O)c1cnn2c(Nc3cc(F)ccc3F)c(C(=O)N3CCC(c4ccc(F)cc4)CC3)cnc12>>CCC(=O)NS(=O)(=O)c1cnn2c(Nc3cc(F)ccc3F)c(C(=O)N3CCC(c4ccc(F)cc4)CC3)cnc12,train,1,0
C=CC(=O)OCC.O=C1CCc2cc(-c3ccc(C(F)(F)F)cc3)ccc2N1>C1CCOC1.CN(C)C=O.[Na+].[OH-]>CCOC(=O)CCN1C(=O)CCc2cc(-c3ccc(C(F)(F)F)cc3)ccc21,train,0,1
COc1cc(Br)c(OC)c(CCCC2OCCCO2)c1>C1COCCO1.CCCCCC.CCO.CCOC(C)=O.Cc1ccc(S(=O)(=O)O)cc1>COc1cc(Br)c(OC)c2c1C=CCC2,train,1,0
COC1=C(OC)C(=O)C(Cc2ccc(OC(C)=O)c(C(=O)Nc3ccc(Cl)nc3)c2)=C(C)C1=O>CO.O.O=C([O-])O.[Na+]>COC1=C(OC)C(=O)C(Cc2ccc(O)c(C(=O)Nc3ccc(Cl)nc3)c2)=C(C)C1=O,train,1,0
COc1cc2c(-c3cc4c(Cl)ccnc4n3S(=O)(=O)c3ccc(C)cc3)cn(C)c2cc1OCCN1CCCCC1C1CCNCC1>[K+].[OH-]>COc1cc2c(-c3cc4c(Cl)ccnc4[nH]3)cn(C)c2cc1OCCN1CCCCC1C1CCNCC1,train,1,0
Cc1[nH]c(C(=O)NC2CCN(c3nccs3)CC2)c(Cl)c1Cl.O=S(=O)(O)Cl>ClCCl.O>Cc1[nH]c(C(=O)NC2CCN(c3ncc(S(=O)(=O)O)s3)CC2)c(Cl)c1Cl,train,0,1
COC(=O)c1scc(C)c1NC(=O)C(F)(F)F.O=C1CCC(=O)N1Br>CC(=O)O.O.[Cl-].[Na+]>COC(=O)c1sc(Br)c(C)c1NC(=O)C(F)(F)F,train,0,1
CCOC(=O)c1nnc(Cl)cc1Cl.Nc1ccc2c(n1)CCC2>CC#N.CCN(C(C)C)C(C)C>CCOC(=O)c1nnc(Cl)cc1Nc1ccc2c(n1)CCC2,train,0,1
CC[C@@H](O)CNC(=O)c1ccc(-c2cc(O[C@@H](C)COC)cc(O[Si](C(C)C)(C(C)C)C(C)C)c2)[nH]1>C1CCOC1.CCN(CC)CC.CS(=O)(=O)O.[Cl-].[NH4+]>CC[C@H]1CN=C(c2ccc(-c3cc(O[C@@H](C)COC)cc(O[Si](C(C)C)(C(C)C)C(C)C)c3)[nH]2)O1,train,1,0
Cc1cccc(Cl)c1CN.O=C1CSC(=S)N1>CC#N.CCN(C(C)C)C(C)C>Cc1cccc(Cl)c1CNC1=NC(=O)CS1,test,0,1
COc1cc(N2CC[C@@H](N(C)C)C2)c([N+](=O)[O-])cc1Nc1nccc(-c2cnn3c2CCCC3)n1>CCO.O.[Cl-].[Fe].[NH4+]>COc1cc(N2CC[C@@H](N(C)C)C2)c(N)cc1Nc1nccc(-c2cnn3c2CCCC3)n1,train,1,0
CCOC(=O)CSC1=CC(=O)c2ccccc2C1=O.NS(=O)(=O)c1cccs1>CCN(CC)CC.Cl[Ti](Cl)(Cl)Cl>CCOC(=O)CSC1=CC(=NS(=O)(=O)c2cccs2)c2ccccc2C1=O,train,0,1
CCCC1CCC(C2CCC(=O)CC2)C1.CCOc1ccc(Br)c(F)c1F>C1CCOC1.CCCCCC.[Cl-].[Li]CCCC.[NH4+]>CCCC1CCC(C2CCC(O)(c3ccc(OCC)c(F)c3F)CC2)C1,train,1,0
CN(C)C(N)=S.O=C(CCl)CCl>CC(C)=O.O=S(=O)([O-])[O-].[Mg+2]>CN(C)c1nc(CCl)cs1,train,1,0
CC(C)C(=O)OC(=O)C(C)C.Nc1cc(Cl)ccc1O>O>CC(C)C(=O)Nc1cc(Cl)ccc1O,train,1,0
COC(=O)N1CCNCC1.O=[N+]([O-])c1cccc2c1CCC2Cl>CC#N.CCN(C(C)C)C(C)C.CCOC(C)=O.Cl>COC(=O)N1CCN(C2CCc3c2cccc3[N+](=O)[O-])CC1,train,1,0
CCI.O=C(O)CCc1oc(Sc2ccccn2)nc1-c1ccc(Cl)cc1>O>CCOC(=O)CCc1oc(Sc2ccccn2)nc1-c1ccc(Cl)cc1,train,1,0
CCOC(=O)CCOc1cccc2c1CCc1sc(S)nc1-2.c1ccc(Cc2ccccc2)cc1>[Br-]>O=C(O)CCOc1cccc2c1CCc1sc(SC(c3ccccc3)c3ccccc3)nc1-2,train,0,1
C[C@@H](O)c1cncc(Br)c1.[N-]=[N+]=NP(=O)(c1ccccc1)c1ccccc1>C1CCC2=NCCCN2CC1.C1CCOC1.CCOC(C)=O.O>C[C@H](N=[N+]=[N-])c1cncc(Br)c1,train,1,0
CC[Si](CC)(CC)c1cccc(C[C@H]2C(=O)O[C@H](c3ccccc3)[C@H](c3ccccc3)N2C(=O)OC(C)(C)C)c1>CCN(CC)CC.ClCCl.O=C(O)C(F)(F)F>C[Si](C)(C)c1cccc(C[C@@H]2N[C@@H](c3ccccc3)[C@@H](c3ccccc3)OC2=O)c1,train,1,0
CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C.Cc1cc(Br)ccc1C#N>C1COCCO1.CC(=O)[O-].ClCCl.Cl[Pd]Cl.[Fe+2].[K+].c1ccc(P(c2ccccc2)[c-]2cccc2)cc1>Cc1cc(B2OC(C)(C)C(C)(C)O2)ccc1C#N,train,0,1
CC/C=C/CCO.Cc1ccc(S(=O)(=O)Cl)cc1>CCN(CC)CC.CN(C)c1ccncc1>CC/C=C\CCOS(=O)(=O)c1ccc(C)cc1,train,1,0
C=CCBr.CCC1(C)CC(OC(=O)c2ccccc2)C(C)C(C)(CC)N1>CN(C)C=O>C=CCN1C(C)(CC)CC(OC(=O)c2ccccc2)C(C)C1(C)CC,train,0,1
COCOc1ccc(C(O)c2c(C)cc(O[Si](C(C)C)(C(C)C)C(C)C)cc2C)cc1>CC(=O)O.CCOC(C)=O.[Pd]>COCOc1ccc(Cc2c(C)cc(O[Si](C(C)C)(C(C)C)C(C)C)cc2C)cc1,train,0,1
CCC(F)(F)CCC1CC(C(=O)OC)N(C(=O)OC(C)(C)C)C1>C1CCOC1.O.[Li+].[OH-]>CCC(F)(F)CCC1CC(C(=O)O)N(C(=O)OC(C)(C)C)C1,train,1,0
COc1cc([N+](=O)[O-])c2ncccc2c1>CO.NN.O.[Ni]>COc1cc(N)c2ncccc2c1,train,1,0
Cc1ccccc1N1CCNCC1.Cc1ncc(CCl)c(N)n1>CN(C)C=O.Cl.O=C([O-])[O-].[K+]>Cc1ncc(CN2CCN(c3ccccc3C)CC2)c(N)n1,train,0,1
CCC1(COS(=O)(=O)c2ccc(C)cc2)COC1.O=Cc1cc(Br)ccc1O>CN(C)C=O.O=C([O-])[O-].[K+]>CCC1(COc2ccc(Br)cc2C=O)COC1,train,0,1
CC(=O)C=Cc1c(C)c(C)c(C)c2c1OCC2>Cc1ccccc1.N#CC1=C(C#N)C(=O)C(Cl)=C(Cl)C1=O>CC(=O)C=Cc1c(C)c(C)c(C)c2ccoc12,train,1,0
CS(=O)(=O)Cl.Cc1cc(N)cc(C)c1S(=O)(=O)C[N+](=O)[O-]>C1CCOC1.CCOC(C)=O.c1ccncc1>Cc1cc(NS(C)(=O)=O)cc(C)c1S(=O)(=O)C[N+](=O)[O-],train,0,1
CC(C)Oc1ccc2c(c1)NC(=O)CCC2.O=[N+]([O-])[O-]>O=C(OC(=O)C(F)(F)F)C(F)(F)F.O=C([O-])O.[K+].[Na+]>CC(C)Oc1cc2c(cc1[N+](=O)[O-])CCCC(=O)N2,train,0,1
CCCC(C(=O)OC)c1c(C)nc(N2CCCCC2)nc1-c1cccc2cccnc12>CO.[Na+].[OH-]>CCCC(C(=O)O)c1c(C)nc(N2CCCCC2)nc1-c1cccc2cccnc12,train,0,1
O=C(Cl)Oc1ccccc1.O=[N+]([O-])c1cn(C2CCC2)cn1>CC(=O)O.CCN(C(C)C)C(C)C.CCOC(C)=O.CO.[Pd]>O=C(Nc1cn(C2CCC2)cn1)Oc1ccccc1,train,1,0
CC(C)(C)OC(=O)N1[C@@H](/C=C/c2ccc(Br)cc2)COC1(C)C>C1CCOC1.CC#N.CCOC(C)=O.O.O=C(O)C(F)(F)F>N[C@@H](/C=C/c1ccc(Br)cc1)CO,train,0,1
NCCCO.O=[N+]([O-])c1cnccc1Cl>CCO.O=C([O-])O.[Na+]>O=[N+]([O-])c1cnccc1NCCCO,train,0,1
COCC(=O)Nc1c(OC)cccc1[N+](=O)[O-]>CCO.Cl[Sn]Cl.[Na+].[OH-]>COCc1nc2c(OC)cccc2[nH]1,train,0,1
Nc1ccccc1.O=C(C(F)(F)F)C(F)(F)F>CCCCCC.Cc1ccc(S(=O)(=O)O)cc1.ClCCl.O>Nc1ccc(C(O)(C(F)(F)F)C(F)(F)F)cc1,train,0,1
O=C(Cl)COC(CF)CF.O=C1CCOCC1>C1CCOC1.CC(=O)O.C[Si](C)(C)[N-][Si](C)(C)C.Cc1ccccc1.O.[Li+]>O=C1CCOCC1C(=O)COC(CF)CF,train,0,1
COc1ccc(C(C)=O)cc1OC.NOCc1ccc([N+](=O)[O-])cc1>Cl>COc1ccc(/C(C)=N/OCc2ccc([N+](=O)[O-])cc2)cc1OC,train,1,0
CC(=O)OCC[N+](=O)[O-].CC(=O)SC1C=CCCCC1>CCO.[Na]>O=[N+]([O-])CCSC1C=CCCCC1,train,1,0
CCOC(=O)CN.CCOC(=O)c1c(O)c2ccccc2n(OCc2ccccc2)c1=O>C1COCCO1.CCN(C(C)C)C(C)C.Cl>CCOC(=O)CNC(=O)c1c(O)c2ccccc2n(OCc2ccccc2)c1=O,train,0,1
COCCNC(N)=O.Fc1ccc(-c2n[nH]c3cc(Cl)ncc23)cc1>C1CCOC1.CC(C)(C)[O-].COc1ccc(OC)c(P(C2CCCCC2)C2CCCCC2)c1-c1c(C(C)C)cc(C(C)C)cc1C(C)C.Cl[Pd+].NCCc1[c-]cccc1.[K+]>COCCNC(=O)Nc1cc2[nH]nc(-c3ccc(F)cc3)c2cn1,train,0,1
O=C(Nc1ccc2nc(N[C@@H]3CCc4ccccc43)ccc2c1)NC1CCNCC1.OCCBr>C1CCOC1.CCN(CC)CC>O=C(Nc1ccc2nc(N[C@@H]3CCc4ccccc43)ccc2c1)NC1CCN(CCO)CC1,train,0,1
Cc1ccc(S(=O)(=O)OCCOCCOS(=O)(=O)c2ccc(C)cc2)cc1.[N-]=[N+]=[N-]>CN(C)C=O.O.[Na+]>Cc1ccc(S(=O)(=O)OCCOCCN=[N+]=[N-])cc1,train,0,1
Clc1nc(Cl)c(Cl)c(Cl)c1Cl>COP(=O)(OC)OC.Cl.O.[Cl-].[NH4+].[Zn]>Clc1cc(Cl)c(Cl)nc1Cl,train,1,0
CCOS(=O)CC(C)NC(=O)OCc1ccccc1>CCO.[Na+].[OH-]>CC(CS(=O)O)NC(=O)OCc1ccccc1,train,1,0
CC(=O)CC1COCCC1=O.CCOC(=O)CN>Cl.ClCCl.O=C([O-])O.[Na+]>CCOC(=O)Cn1c(C)cc2c1CCOC2,train,1,0
Cc1cn([C@H]2C[C@H](O[Si](C)(C)C(C)(C)C)[C@@H](CI)O2)c(=O)[nH]c1=O.[N-]=[N+]=[N-]>CCOC(C)=O.CN(C)C=O.[Na+]>Cc1cn([C@H]2C[C@H](O[Si](C)(C)C(C)(C)C)[C@@H](CN=[N+]=[N-])O2)c(=O)[nH]c1=O,train,1,0
CC[C@@H](NC(=O)OC(C)(C)C)c1ccc(-c2c(OC)ccc3[nH]c(=O)c4sccc4c23)cc1.O=C1CCC(=O)N1Cl>CN(C)C=O>CC[C@@H](NC(=O)OC(C)(C)C)c1ccc(-c2c(OC)cc(Cl)c3[nH]c(=O)c4sccc4c23)cc1,train,0,1
CC(C)Cn1nc(-c2ccc(-c3ccccc3)cc2)cc(COS(C)(=O)=O)c1=O.Cc1ccc(-c2nn(CC(C)C)c(=O)c(N3CCN(C(=O)OC(C)(C)C)CC3)c2C)cc1F>CN1CCNCC1>CC(C)Cn1nc(-c2ccc(-c3ccccc3)cc2)cc(CN2CCN(C)CC2)c1=O,train,0,1
CCOC(=O)c1cc(O)nc2[nH]ncc12.O=P(Br)(Br)Br>CC#N>CCOC(=O)c1cc(Br)nc2[nH]ncc12,train,1,0
CC(C)(C)OC(=O)N1CCC(=O)CC1.O=[N+]([O-])C=Cc1ccc(Br)cc1>NCc1ccccc1>Brc1ccc(-c2cn(Cc3ccccc3)c3c2CNCC3)cc1,train,1,0
COC(=O)c1ccc(F)cc1.Cn1nnc(-c2ccc(F)cc2)c1-c1c[nH]cn1>CN(C)C=O.O.O=C([O-])[O-].[K+]>COC(=O)c1ccc(-n2cnc(-c3c(-c4ccc(F)cc4)nnn3C)c2)cc1,train,0,1
CC(=O)N[C@@H]1[C@@H](SCC=Cc2ccccc2)O[C@H](COC(C)=O)[C@@H](OC(C)=O)[C@@H]1OC(C)=O>CO.C[O-].[Na+]>CC(=O)N[C@@H]1[C@@H](SCC=Cc2ccccc2)O[C@H](CO)[C@@H](O)[C@@H]1O,train,1,0
COC(=O)[C@@H]1CC[C@@H](NC(=O)[C@@H]2NC3(CCC(C)(C)CC3)[C@@]3(C(=O)Nc4cc(Cl)ccc43)[C@H]2c2ccnc(Cl)c2F)CO1>CO.Cl.[Na+].[OH-]>CC1(C)CCC2(CC1)N[C@@H](C(=O)N[C@@H]1CC[C@@H](C(=O)O)OC1)[C@H](c1ccnc(Cl)c1F)[C@]21C(=O)Nc2cc(Cl)ccc21,train,0,1
O=C(O)CCc1ccc(C(F)(F)F)c(Cl)c1>O=S(=O)(O)Cl>O=C1CCc2cc(Cl)c(C(F)(F)F)cc21,train,1,0
Brc1ccc(N(c2ccccc2)c2cccc3ccccc23)cc1.CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C>C1COCCO1.CC(=O)[O-].Cl[Pd]Cl.[Fe+2].[K+].c1ccc(P(c2ccccc2)[c-]2cccc2)cc1>CC1(C)OB(c2ccc(N(c3ccccc3)c3cccc4ccccc34)cc2)OC1(C)C,train,1,0
Nc1cccc(-c2nn3ccccc3c2-c2ccnc(Nc3cccc(OCCCN4CCOCC4)c3)n2)c1.O=C(Cl)Cc1cccs1>>O=C(Cc1cccs1)Nc1cccc(-c2nn3ccccc3c2-c2ccnc(Nc3cccc(OCCCN4CCOCC4)c3)n2)c1,train,0,1
CCCCC([SnH3])=C(CCCC)CCCC.Oc1cc(-c2ccccc2)nc2c(Br)cccc12>C1COCCO1.[Cl-].[Li+].c1ccc([PH](c2ccccc2)(c2ccccc2)[Pd]([PH](c2ccccc2)(c2ccccc2)c2ccccc2)([PH](c2ccccc2)(c2ccccc2)c2ccccc2)[PH](c2ccccc2)(c2ccccc2)c2ccccc2)cc1>C=Cc1cccc2c(O)cc(-c3ccccc3)nc12,train,0,1
O=C(Nc1ccc(Oc2ccc(F)cc2)cc1)[C@@H]1C[C@@H](Cc2ccc(F)cc2Cl)CN1.O=C(O)Cn1cncn1>Cl>O=C(Nc1ccc(Oc2ccc(F)cc2)cc1)[C@@H]1C[C@@H](Cc2ccc(F)cc2Cl)CN1C(=O)Cn1cncn1,train,0,1
COc1cc([N+](=O)[O-])ccc1C#N>CCOC(C)=O.CN(C)C=O.[Cl-].[Li+]>N#Cc1ccc([N+](=O)[O-])cc1O,train,1,0
CCn1nc2c(N)nc3ccccc3c2c1CC1(O)CCNCC1.CS(=O)(=O)OS(C)(=O)=O>ClC(Cl)Cl.O=C([O-])[O-].[Na+]>CCn1nc2c(N)nc3ccccc3c2c1CC1(O)CCN(S(C)(=O)=O)CC1,train,0,1
C#Cc1cncc(Cl)c1.N#Cc1cc(I)ccc1F>CCN(CC)CC.[Cu]I.c1ccc([PH]([Pd][PH](c2ccccc2)(c2ccccc2)c2ccccc2)(c2ccccc2)c2ccccc2)cc1>N#Cc1cc(C#Cc2cncc(Cl)c2)ccc1F,train,1,0
COc1ccc(CN(c2cc(NC3CCOCC3)nn3c(C(=O)Nc4ccnc(Cl)c4)cnc23)C2CC2)cc1>CO.ClCCl.O=C(O)C(F)(F)F>O=C(Nc1ccnc(Cl)c1)c1cnc2c(NC3CC3)cc(NC3CCOCC3)nn12,train,0,1
Cc1cc(N)cc(OCCc2ccc(C#N)cc2)c1.O=S(=O)(Cl)c1ccccc1>O=C([O-])O.[Na+].c1ccncc1>Cc1cc(NS(=O)(=O)c2ccccc2)cc(OCCc2ccc(C#N)cc2)c1,train,1,0
N#Cc1cc(C=O)ccc1F.Oc1ccc(Cl)c(C(F)(F)F)c1>CN(C)C=O.O=C([O-])[O-].[K+]>N#Cc1cc(C=O)ccc1Oc1ccc(Cl)c(C(F)(F)F)c1,train,0,1
CCC=O.Cc1cc(Br)ccc1NN>CCO.Cl.[Cl-].[Zn+2]>Cc1c[nH]c2c(C)cc(Br)cc12,train,0,1
C=CCN(CC=C)Cc1noc(-c2ncn3c2[C@@H]2CCCN2C(=O)c2ccccc2-3)n1>CO.[Pd]>CCCN(CCC)Cc1noc(-c2ncn3c2[C@@H]2CCCN2C(=O)c2ccccc2-3)n1,train,0,1
COB(OC)OC.Clc1ccc([Mg]Br)cc1>C1CCOC1>COB(c1ccc(Cl)cc1)c1ccc(Cl)cc1,train,1,0
O=C1c2ccccc2C(=O)c2c(-c3ccccc3)noc21>CO>N=C(C1=C(O)C(=O)c2ccccc2C1=O)c1ccccc1,train,0,1
Cc1nc(N2CCN(CCCC(F)(F)F)C2=O)sc1C(=O)O.NCc1cocn1>NCc1cncc(F)c1>Cc1nc(N2CCN(CCCC(F)(F)F)C2=O)sc1C(=O)NCc1cocn1,train,0,1
CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)OC(C)OC(C)=O)=C(COC(N)=O)CS[C@H]12)c1ccco1>C1CCOC1.CCO.CC[O-].Cl.[Na+]>CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(COC(N)=O)CS[C@H]12)c1ccco1,train,1,0
CC(C)(C)Oc1ccc(CCBr)cc1.Cc1ccc2[nH]c3c(c2c1)CN(C)CC3>CN1CCCC1=O.O.[K+].[OH-]>Cc1ccc2c(c1)c1c(n2CCc2ccc(OC(C)(C)C)cc2)CCN(C)C1,train,0,1
CC(C)(O)c1nc2c(N3CCOCC3)nc(Cl)nc2[nH]1.COC(=O)C(C)Br>CCOC(C)=O.CN(C)C=O.O.O=C([O-])[O-].[Cs+]>COC(=O)C(C)n1c(C(C)(C)O)nc2c(N3CCOCC3)nc(Cl)nc21,train,0,1
CCN=C=S.COCC(C)Nc1c(N)cnc2cc(-c3c(C)noc3C)c(OC)cc12>>CCNc1nc2cnc3cc(-c4c(C)noc4C)c(OC)cc3c2n1C(C)COC,train,0,1
CC(CO)(CO)C(=O)OCc1ccccc1.O=C=O>CC(C)=O.ClCCl.O=C(OC(Cl)(Cl)Cl)OC(Cl)(Cl)Cl.c1ccncc1>CC1(C(=O)OCc2ccccc2)COC(=O)OC1,train,1,0
C=CC(=O)Cl.CCC(O)(CC)C12CC3CC(CC(C3)C1)C2>C1CCOC1.CCN(CC)CC.O>C=CC(=O)OC(CC)(CC)C12CC3CC(CC(C3)C1)C2,train,1,0
CC(C)(C)OC(=O)N1CCC[C@H]1COS(C)(=O)=O.O=C(Cn1cc(Nc2ncnc3cc(O)ccc23)cn1)Nc1cccc(F)c1>CC(=O)N(C)C.O.O=C([O-])[O-].[Cs+]>CC(C)(C)OC(=O)N1CCC[C@H]1COc1ccc2c(Nc3cnn(CC(=O)Nc4cccc(F)c4)c3)ncnc2c1,train,0,1
CN1CCNCC1.N#Cc1cc(F)cc(Cl)c1>CCOCC.CS(C)=O.Cl>CN1CCN(c2cc(Cl)cc(C#N)c2)CC1,train,1,0
CC(C)(C)[Si](C)(C)Cl.Cc1c(N[C@@H](C(=O)NNC(=O)c2ccc([N+](=O)[O-])cc2)[C@@H](C)O)ccc(C#N)c1Cl>CN(C)C=O.c1c[nH]cn1>Cc1c(N[C@@H](C(=O)NNC(=O)c2ccc([N+](=O)[O-])cc2)[C@H](C)O[Si](C)(C)C(C)(C)C)ccc(C#N)c1Cl,train,1,0
CC(C)(C)OC(=O)NC1CCC(NC(=O)c2cc(O)cc(Oc3ccc(C#N)cc3)c2)CC1.O=[N+]([O-])c1ccc(Cl)cc1>>CC(C)(C)OC(=O)NC1CCC(NC(=O)c2cc(Oc3ccc(C#N)cc3)cc(Oc3ccc([N+](=O)[O-])cc3)c2)CC1,train,0,1
CS(=O)(=O)N(c1cc(Cl)ncc1I)S(C)(=O)=O>C1CCOC1.[Na+].[OH-]>CS(=O)(=O)Nc1cc(Cl)ncc1I,train,1,0
Cc1cc(C)c2c(c1C)OC(=O)C2c1ccc(Br)cc1>CCCCCC.CCOC(C)=O>Cc1cc(C)c(C(CO)c2ccc(Br)cc2)c(O)c1C,train,1,0
COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1OC[C@@H]1CCCN1.CS(=O)(=O)Cl>Cl>COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1OC[C@@H]1CCCN1S(C)(=O)=O,test,0,1
CC1(C)[C@@H](C(N)=O)C[C@H]1N.CSc1ncc(C#N)c(Cl)n1>CC(C)O.CCN(C(C)C)C(C)C>CSc1ncc(C#N)c(N[C@@H]2C[C@H](C(N)=O)C2(C)C)n1,train,1,0
CC(C)C(=O)OC(=O)C(C)C.N[C@H]1CC[C@H](O)CC1>C1CCOC1.CCN(CC)CC.O>CC(C)C(=O)NC1CCC(O)CC1,train,0,1
Cc1cc2ccccc2c(=O)[nH]1>CC(=O)O.O=[Pt]=O>Cc1cc2c(c(=O)[nH]1)CCCC2,train,1,0
