reaction,split,high_yielding,not_high_yielding
O=C1[NH][CH2][CH2]C2=C1[CH]=C(C1=C3N=C(F)[CH]=NC3=[CH][CH]=[CH]1)[NH]2.[CH3]C1([CH3])[CH2][NH][CH2][CH2][NH]1>>[CH3]C1([CH3])[CH2]N(C2=NC3=C(C4=[CH]C5=C([CH2][CH2][NH]C5=O)[NH]4)[CH]=[CH][CH]=C3N=[CH]2)[CH2][CH2][NH]1,train,0,1
COC(=O)O[CH3].O=C1[CH2][CH2]C2=[CH]C(Cl)=[CH][CH]=C12>C1=CC=CC=C1.[H-].[Na+]>[CH3]OC(=O)[CH]1[CH2]C2=[CH]C(Cl)=[CH][CH]=C2C1=O,train,0,1
OC(=O)[CH2]C(=O)[OH].[CH3][CH]1[CH2]C2=C([CH]=O)[CH]=[CH][CH]=C2O1>>[CH3][CH]1[CH2]C2=C([CH]=[CH][CH]=C2/C=C/C(=O)[OH])O1,train,1,0
[CH3]N1C(=O)C(C2=[CH][CH]=C(O[CH](F)F)[CH]=[CH]2)(C2=[CH]C(Br)=[CH][CH]=[CH]2)N=C1[NH2].[CH3]O[CH2][CH2][CH2][CH2]/C=C/B(O)O>COCCOC.O.O=C([O-])[O-].[K+].[K+]>[CH3]O[CH2][CH2][CH2][CH2]/C=C/C1=[CH][CH]=[CH]C(C2(C3=[CH][CH]=C(O[CH](F)F)[CH]=[CH]3)N=C([NH2])N([CH3])C2=O)=[CH]1,train,0,1
[CH2]1[CH2][NH][CH2][CH2][NH]1.[CH3][CH2][NH]C(=O)C1=[CH][CH]=C(F)[CH]=[CH]1>>[CH3][CH2][NH]C(=O)C1=[CH][CH]=C(N2[CH2][CH2][NH][CH2][CH2]2)[CH]=[CH]1,train,1,0
[CH]1=[CH][CH]=C([CH]2[CH2]O2)[CH]=[CH]1.[H][H]>>[OH][CH2][CH2]C1=[CH][CH]=[CH][CH]=[CH]1,train,1,0
CC(=O)O[CH](OC([CH3])=O)C(=C)[CH3].[CH3]OC1=C(O[CH3])[CH]=[CH][CH]=[CH]1>>[CH3]OC1=C(O[CH3])[CH]=C([CH2]C([CH3])=[CH]OC([CH3])=O)[CH]=[CH]1,train,1,0
O=C([CH2]F)C1=C(F)[CH]=[CH][CH]=[CH]1.[CH3]C([CH3])([CH3])S([NH2])=O>>[CH3]C([CH3])([CH3])S(=O)/N=C(/[CH2]F)C1=C(F)[CH]=[CH][CH]=[CH]1,train,0,1
COC1=CC=C(C(C)CN(CC2=C(Cl)C(C(F)(F)F)=CC=C2)[CH2][CH2][CH2]OC2=[CH][CH]=[CH]C(=[CH]C(=O)O[CH3])[CH2]2)C=C1.[CH3][CH]([CH3])[CH2][CH]([CH2][NH][CH2]C1=C(Cl)C(C(F)(F)F)=[CH][CH]=[CH]1)C1=[CH][CH]=[CH][CH]=[CH]1>>[CH3]OC(=O)[CH]=C1[CH]=[CH][CH]=C(O[CH2][CH2][CH2]N([CH2]C2=C(Cl)C(C(F)(F)F)=[CH][CH]=[CH]2)[CH2][CH]([CH2][CH]([CH3])[CH3])C2=[CH][CH]=[CH][CH]=[CH]2)[CH2]1,train,0,1
O=C(Cl)[CH2][CH2][CH2][CH2]Cl.[NH2][CH2]/C=C\[CH2]OC1=N[CH]=[CH]C([CH2]N2[CH2][CH2][CH2][CH2][CH2]2)=[CH]1>>O=C([CH2][CH2][CH2][CH2]Cl)[NH][CH2]/C=C\[CH2]OC1=N[CH]=[CH]C([CH2]N2[CH2][CH2][CH2][CH2][CH2]2)=[CH]1,train,1,0
O=CC#CC1=CC(Cl)=CC=C1.[OH]N=[CH]C#CC1=[CH][CH]=[CH][CH]=[CH]1>>[OH]N=[CH]C#CC1=[CH]C(Cl)=[CH][CH]=[CH]1,train,1,0
O=C1[NH][CH2][CH2][NH]1.[CH3]C1=NC2=[CH][CH]=[CH]C(N3[CH2][CH2]N([CH2][CH2]C4=C(F)[CH]=[CH]C(Br)=[CH]4)[CH2][CH2]3)=C2[CH]=[CH]1>>[CH3]C1=NC2=[CH][CH]=[CH]C(N3[CH2][CH2]N([CH2][CH2]C4=C(F)[CH]=[CH]C(N5[CH2][CH2][NH]C5=O)=[CH]4)[CH2][CH2]3)=C2[CH]=[CH]1,train,0,1
N[CH2][CH2][CH2]C(=O)[OH].[NH2][CH2][CH2][CH2][CH2][CH2]C(=O)[OH]>>[NH2][CH2][CH2][CH2][CH2][CH](C(=O)[OH])C(=O)[CH]=[CH]C1=[CH][CH]=[CH][CH]=[CH]1,train,1,0
CC(O)C1=CC(C)=C(Br)C=C1.[CH3]C(=O)C1=C([CH3])[CH]=C([CH2][OH])[CH]=[CH]1>>[CH3]C(=O)C1=C([CH3])[CH]=C([CH]([CH3])[OH])[CH]=[CH]1,train,0,1
O=C1[CH2]C2=C(N=[CH]N=C2Cl)[NH]1.[CH3]C1=[CH]C([CH3])=C([CH]=O)[NH]1>>[CH3]C1=[CH]C([CH3])=C([CH]=C2C(=O)[NH]C3=C2C(Cl)=N[CH]=N3)[NH]1,train,0,1
C(=N[CH]1[CH2][CH2][CH2][CH2][CH2]1)=N[CH]1[CH2][CH2][CH2][CH2][CH2]1.[CH3][CH2][CH2][CH2][NH2]>>[CH3][CH2][CH2][CH2][NH]C(=N[CH]1[CH2][CH2][CH2][CH2][CH2]1)[NH][CH]1[CH2][CH2][CH2][CH2][CH2]1,train,1,0
[CH3][CH2]OC(=O)[CH2]Br.[OH]C1=[CH][CH]=[CH]C([SH])=[CH]1>>[CH3][CH2]OC(=O)[CH2]SC1=[CH]C([OH])=[CH][CH]=[CH]1,train,0,1
O=C1[CH]=[CH]C(=O)[NH]1.[CH3]OC1=C(O[CH2]C2=[CH][CH]=[CH][CH]=[CH]2)[CH]=C2[NH]C([CH]=[CH]C3=C(Cl)[CH]=[CH][CH]=[CH]3)=[CH]C2=[CH]1>>[CH3]OC1=[CH]C2=C([CH]=C1O[CH2]C1=[CH][CH]=[CH][CH]=[CH]1)[NH]C1=C2[CH]2C(=O)[NH]C(=O)[CH]2[CH](C2=C(Cl)[CH]=[CH][CH]=[CH]2)[CH2]1,train,1,0
FC(F)(F)C1=[CH]N=C(Cl)C(Cl)=[CH]1.[SH]C1=[CH][CH]=[CH][CH]=[CH]1>[Cu]>FC(F)(F)C1=[CH]N=C(SC2=[CH][CH]=[CH][CH]=[CH]2)C(Cl)=[CH]1,train,1,0
CCOP(O[CH2][CH3])O[CH2][CH3].O=[N+]([O-])C1=[CH][CH]=[CH]C([CH2]Br)=[CH]1>>[CH3][CH2]OP(=O)([CH2]C1=[CH]C([N+](=O)[O-])=[CH][CH]=[CH]1)O[CH2][CH3],train,1,0
Cl[CH](Cl)Cl.[CH3]OC1=C(O[CH3])[CH]=C2[CH2]N(C3=C([CH3])C4=C(OC([CH3])([CH3])[CH]4C4=[CH][CH]=C([CH3])[CH]=[CH]4)C([CH3])=C3[CH3])[CH2]C2=[CH]1>>Cl.[CH3][CH2]C1=[CH][CH]=C([CH]2C3=C(OC2([CH3])[CH3])C([CH3])=C([CH3])C(N2[CH2]C4=[CH]C(O[CH3])=C(O[CH3])[CH]=C4[CH2]2)=C3[CH3])[CH]=[CH]1,train,0,1
[CH3]C([CH3])([CH3])OC(=O)N1[CH2][CH2][CH](N(C(=O)C(F)(F)Br)C2=C(I)[CH]=[CH][CH]=[CH]2)[CH2][CH2]1>CS(C)=O.[Cu]>[CH3]C([CH3])([CH3])OC(=O)N1[CH2][CH2][CH](N2C(=O)C(F)(F)C3=[CH][CH]=[CH][CH]=C32)[CH2][CH2]1,test,1,0
CC1(C)OO1.[CH3]C1=NC(/C=C(\C)[C@@H]2[CH2][C@@H]3O[C@]3([CH3])[CH2][CH2][CH2][C@H]([CH3])[C@H]([OH])[C@@H]([CH3])C(=O)C([CH3])([CH3])[C@@H]([OH])[CH2]C(=O)O2)=[CH]S1>>[CH3]C1=NC(/C=C(\C)[C@@H]2[CH2][C@@H]3O[C@]3([CH3])[CH2][CH]=[CH][C@H]([CH3])[C@H]([OH])[C@@H]([CH3])C(=O)C([CH3])([CH3])[C@@H]([OH])[CH2]C(=O)O2)=[CH]S1,train,1,0
[CH3]OC(=O)[CH](Br)[CH]([CH3])[CH3].[CH3][CH2][CH2][CH2]C1=N[NH]C(=O)N1[CH2]C1=[CH][CH]=C(C2=C(C3=NN=NN3C(C3=[CH][CH]=[CH][CH]=[CH]3)(C3=[CH][CH]=[CH][CH]=[CH]3)C3=[CH][CH]=[CH][CH]=[CH]3)[CH]=[CH][CH]=[CH]2)[CH]=[CH]1>>[CH3][CH2][CH2][CH2]C1=NN([CH](C(=O)O[CH3])[CH]([CH3])[CH3])C(=O)N1[CH2]C1=[CH][CH]=C(C2=C(C3=NN=NN3C(C3=[CH][CH]=[CH][CH]=[CH]3)(C3=[CH][CH]=[CH][CH]=[CH]3)C3=[CH][CH]=[CH][CH]=[CH]3)[CH]=[CH][CH]=[CH]2)[CH]=[CH]1,train,0,1
O=[CH][CH2][NH]C1=NC2=C([CH]=C(Br)[CH]=[CH]2)C(C2=N[CH]=[CH][CH]=[CH]2)=N[CH2]1.OS(O)(=O)=O>>BrC1=[CH]C2=C([CH]=[CH]1)N1[CH]=[CH]N=C1[CH2]N=C2C1=N[CH]=[CH][CH]=[CH]1,train,1,0
O=[Se]=O.[CH3][CH2]N1C([CH3])=NC2=C1[CH]=[CH][CH]=[CH]2>>[CH3][CH2]N1C([CH]=O)=NC2=C1[CH]=[CH][CH]=[CH]2,train,0,1
C=[CH][CH2]ON.CC[NH]C(=O)C1=C(Cl)C(Cl)=[CH][CH]=C1[Si]([CH3])([CH3])[CH3]>>C=[CH][CH2]O[NH]C(=O)C1=C(Cl)C(Cl)=[CH][CH]=C1[Si]([CH3])([CH3])[CH3],train,1,0
OB(O)/C=C/[CH]1[CH2][CH2][CH2][CH2][CH2]1.[CH3][CH2]N([CH2][CH3])[CH]1[CH2][CH2]N(C(=O)C2=C([CH3])N(C3=[CH]C(Br)=[CH][CH]=[CH]3)N=C2[CH3])[CH2]1>>[CH3][CH2]N([CH2][CH3])[CH]1[CH2][CH2]N(C(=O)C2=C([CH3])N(C3=[CH]C(/C=C/[CH]4[CH2][CH2][CH2][CH2][CH2]4)=[CH][CH]=[CH]3)N=C2[CH3])[CH2]1,train,0,1
C=[CH]N1[CH]=C(C(=O)[OH])C(=O)C2=[CH]C(F)=C(F)[CH]=C21.[CH3]N1[CH]2[CH2][CH2][NH][CH2][CH]1[CH2][CH2]2>>C=[CH]N1[CH]=C(C(=O)[OH])C(=O)C2=[CH]C(F)=C(N3[CH2][CH2][CH]4[CH2][CH2][CH]([CH2]3)N4[CH3])[CH]=C21,train,0,1
[CH]1=[CH][CH]=C(N=NC2=[CH][CH]=[CH][CH]=[CH]2)[CH]=[CH]1>NC1=CC=CC=C1>[CH]1=[CH][CH]=C(N=NC2=[CH][CH]=C([NH]C3=[CH][CH]=[CH][CH]=[CH]3)[CH]=[CH]2)[CH]=[CH]1,train,1,0
NS(O)(=O)=O.[CH3]C1=[CH][CH]=[CH]C([CH3])=C1C1=[CH]C2=C([CH]=[CH]1)N=C([NH2])N=N2>NC1=CC=CC=C1>[CH3]C1=[CH][CH]=[CH]C([CH3])=C1C1=[CH]C2=C([CH]=[CH]1)N=C([NH]C1=[CH][CH]=[CH][CH]=[CH]1)N=N2,train,0,1
CC1=[CH]C2=[CH]C([CH]([CH2]C(=O)[NH][CH3])C3=[CH][CH]=[CH][CH]=[CH]3)=[CH][CH]=C2[NH]1.CNCCC(C1=CC=CC=C1)C1=C2N[CH]=CC2=CC=C1>>[CH3][NH][CH2][CH2][CH](C1=[CH][CH]=[CH][CH]=[CH]1)C1=[CH][CH]=C2[NH][CH]=C([CH3])C2=[CH]1,train,0,1
[CH3]OC1=C(Cl)[CH]=C(C(=O)[CH2]C2=[CH][CH]=C(S[CH3])[CH]=[CH]2)[CH]=[CH]1.[NH2][OH]>>[CH3]OC1=C(Cl)[CH]=C(C([CH2]C2=[CH][CH]=C(S[CH3])[CH]=[CH]2)=N[OH])[CH]=[CH]1,train,0,1
O=C([OH])[C@@H]1[CH2][C@@H]([OH])[CH2][NH]1.O=[N+]([O-])C1=C(F)[CH]=[CH][CH]=[CH]1>>O=C([OH])[C@@H]1[CH2][C@@H]([OH])[CH2]N1C1=C([N+](=O)[O-])[CH]=[CH][CH]=[CH]1,train,1,0
C[CH2][CH2][Mg]Br.[CH3][CH2][CH2][CH2]C1=NC(C([CH3])=O)=C(C#N)[NH]1>>[CH3][CH2][CH2][CH2]C1=NC(C(=O)[CH2][CH2][CH3])=C(C#N)[NH]1,train,0,1
CCOC(=S)C(N)=O.[CH3][CH2]OC(=O)C1=NC([CH]([CH3])[CH3])=[CH]S1>>[CH3][CH2]OC(=O)C1=NC([CH]2[CH2][CH2][CH2]2)=[CH]S1,train,0,1
[CH3]C(=O)[CH2][CH]1C2=[CH][CH]=[CH][CH]=C2[CH2][CH2]N1[CH3].[NH2][CH2][CH]([OH])C1=[CH][CH]=C([OH])[CH]=[CH]1>>[CH3][CH]([CH2][CH]1C2=[CH][CH]=[CH][CH]=C2[CH2][CH2]N1[CH3])[NH][CH2][CH]([OH])C1=[CH][CH]=C([OH])[CH]=[CH]1,train,0,1
C1=CO[CH]=C1.COC1=C(O[CH3])O[CH2][CH2]1>>[CH3]O[CH]1[CH2][CH2][CH](O[CH3])O1,train,0,1
C/C(=C\[CH2]Br)C(=O)[OH].C=[CH][CH2][NH]C([NH2])=S>>C=[CH][CH2][NH+]=C([NH2])S[CH2][CH]=C([CH3])C(=O)[OH].[Br-],train,1,0
OC(=O)[C@H]1CC2=C(CN1)NC1=CC=CC=C12.[CH3][CH2]OC(=O)[C@@H]1[CH2]C2=C([CH2][NH]1)[NH]C1=[CH][CH]=[CH][CH]=C12>>[CH3][CH2]OC(=O)[C@H]1[CH2]C2=C([CH2][NH]1)[NH]C1=[CH][CH]=[CH][CH]=C12,train,0,1
O=C([OH])C1=C(I)C([N+](=O)[O-])=[CH][CH]=[CH]1.[NH2]C1=[CH][CH]=[CH]C2=C1[NH][CH]=N2>>O=C([OH])C1=C([NH]C2=[CH][CH]=[CH]C3=C2[NH][CH]=N3)C([N+](=O)[O-])=[CH][CH]=[CH]1,train,0,1
[CH3]C([CH3])([CH3])C1=[CH]C([CH]=O)=[CH]C(C([CH3])([CH3])[CH3])=C1[OH].[CH3]N1C(=O)[CH2]SC1=S>>[CH3]N1C(=O)C(=[CH]C2=[CH]C(C([CH3])([CH3])[CH3])=C([OH])C(C([CH3])([CH3])[CH3])=[CH]2)SC1=S,train,1,0
CN1C(=O)OC(=O)C2=C1C(Cl)=[CH][CH]=[CH]2.[CH3]C([CH3])([CH3])OC(=O)[NH][CH2][CH2][NH2]>>[CH3]C([CH3])([CH3])OC(=O)[NH][CH2][CH2][NH]C(=O)C1=C([NH2])C(Cl)=[CH][CH]=[CH]1,train,1,0
BrC1=CC=C(Br)C2=NN(C3=CC=NC=C3)N=C12.BrC1=[CH][CH]=C(Br)C2=NN(C3=N[CH]=[CH]N=[CH]3)N=C12>>[CH]1=[CH]C2=NN(C3=N[CH]=[CH]N=[CH]3)N=C2[CH]=[CH]1,train,0,1
COC(=O)C1(N2CC3=C[CH]=C(Br)C=C3C2=O)CCCC1.[CH3]OC(=O)C([CH3])([CH3])N1[CH2]C2=[CH][CH]=C(C3=[CH][CH]=C([N+](=O)[O-])[CH]=[CH]3)[CH]=C2C1=O>>[CH3]OC(=O)C1(N2[CH2]C3=[CH][CH]=C(C4=[CH][CH]=C([N+](=O)[O-])[CH]=[CH]4)[CH]=C3C2=O)[CH2][CH2][CH2][CH2]1,train,1,0
OB(O)/C=C/C1=[CH][CH]=C(Cl)[CH]=[CH]1.[CH3][CH2]N([CH2][CH3])[CH]1[CH2][CH2]N(C(=O)C2=C([CH3])N(C3=[CH]C(Br)=[CH][CH]=[CH]3)N=C2[CH3])[CH2]1>>[CH3][CH2]N([CH2][CH3])[CH]1[CH2][CH2]N(C(=O)C2=C([CH3])N(C3=[CH]C(/C=C/C4=[CH][CH]=C(Cl)[CH]=[CH]4)=[CH][CH]=[CH]3)N=C2[CH3])[CH2]1,train,0,1
[CH3][CH2][CH2][CH2]C1=N[NH]C(=O)N1[CH2]C1=[CH][CH]=C(C2=C(C3=NN=NN3C(C3=[CH][CH]=[CH][CH]=[CH]3)(C3=[CH][CH]=[CH][CH]=[CH]3)C3=[CH][CH]=[CH][CH]=[CH]3)[CH]=[CH][CH]=[CH]2)[CH]=[CH]1.[CH3][CH2][CH](Br)C1=[CH][CH]=[CH][CH]=[CH]1>>[CH3][CH2][CH2][CH2]C1=NN([CH]([CH2][CH3])C2=[CH][CH]=[CH][CH]=[CH]2)C(=O)N1[CH2]C1=[CH][CH]=C(C2=C(C3=NN=NN3C(C3=[CH][CH]=[CH][CH]=[CH]3)(C3=[CH][CH]=[CH][CH]=[CH]3)C3=[CH][CH]=[CH][CH]=[CH]3)[CH]=[CH][CH]=[CH]2)[CH]=[CH]1,train,0,1
